N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1.0,삼성전자,56000.0,600.0,+1.08%,100.0,3343078.0,5969783.0,49.47,15979701.0,8.49,13.92
2.0,LG에너지솔루션,485500.0,12000.0,-2.41%,500.0,1136070.0,234000.0,4.5,331411.0,806.48,10.68
3.0,SK하이닉스,93100.0,2900.0,+3.22%,5000.0,677770.0,728002.0,50.5,3792578.0,5.91,16.84
4.0,삼성바이오로직스,822000.0,20000.0,+2.49%,2500.0,585050.0,71174.0,10.52,49849.0,109.32,8.21
5.0,삼성SDI,607000.0,7000.0,+1.17%,5000.0,417401.0,68765.0,45.02,260113.0,28.32,8.45
6.0,삼성전자우,50400.0,200.0,+0.40%,100.0,414735.0,822887.0,71.55,691712.0,7.64,
7.0,LG화학,585000.0,12000.0,-2.01%,5000.0,412965.0,70592.0,48.35,186703.0,20.63,18.47
8.0,현대차,166500.0,1500.0,-0.89%,5000.0,355758.0,213668.0,28.99,686888.0,7.39,6.84
9.0,기아,67900.0,500.0,+0.74%,5000.0,275242.0,405363.0,37.04,1191101.0,5.2,14.69
10.0,NAVER,161500.0,3000.0,+1.89%,100.0,264939.0,164049.0,50.02,1361226.0,26.35,106.72
11.0,셀트리온,164000.0,1000.0,-0.61%,1000.0,230899.0,140792.0,21.21,252326.0,41.03,16.04
12.0,카카오,49600.0,500.0,-1.00%,100.0,220880.0,445322.0,28.11,1790947.0,9.92,17.1
13.0,삼성물산,108500.0,1000.0,-0.91%,100.0,202772.0,186887.0,16.53,201118.0,12.92,5.4
14.0,POSCO홀딩스,236500.0,6500.0,+2.83%,5000.0,200011.0,84571.0,53.73,337114.0,2.85,13.97
15.0,현대모비스,196000.0,5500.0,-2.73%,5000.0,185363.0,94573.0,35.72,173106.0,7.82,6.87
16.0,KB금융,44650.0,0.0,0.00%,5000.0,182573.0,408897.0,73.53,929373.0,3.94,9.8
17.0,신한지주,34950.0,300.0,+0.87%,5000.0,179270.0,512934.0,61.65,765745.0,4.34,8.8
18.0,SK,201000.0,1500.0,+0.75%,200.0,149040.0,74149.0,22.32,73955.0,4.51,10.19
19.0,SK이노베이션,156500.0,500.0,+0.32%,5000.0,144709.0,92466.0,25.65,247358.0,5.72,1.91
20.0,LG전자,79600.0,1400.0,+1.79%,5000.0,130264.0,163648.0,25.67,517238.0,7.81,6.32
21.0,삼성생명,64800.0,300.0,-0.46%,500.0,129600.0,200000.0,13.15,140704.0,17.76,4.01
22.0,포스코케미칼,161500.0,1500.0,-0.92%,500.0,125103.0,77463.0,7.49,540842.0,91.24,7.92
23.0,LG,78000.0,2300.0,+3.04%,5000.0,122695.0,157301.0,36.23,202227.0,5.36,12.36
24.0,고려아연,606000.0,3000.0,-0.49%,5000.0,120371.0,19863.0,21.83,44757.0,13.42,11.07
25.0,KT&G,87100.0,200.0,+0.23%,5000.0,119582.0,137292.0,42.13,225602.0,11.29,10.74
26.0,한국전력,18050.0,400.0,-2.17%,5000.0,115875.0,641964.0,14.77,1379169.0,-0.75,-7.99
27.0,하나금융지주,37400.0,550.0,+1.49%,5000.0,110668.0,295903.0,71.21,809659.0,3.2,10.86
28.0,SK텔레콤,49250.0,550.0,+1.13%,100.0,107775.0,218833.0,46.53,398773.0,8.49,13.63
29.0,현대중공업,120000.0,3500.0,+3.00%,5000.0,106528.0,88773.0,5.65,156036.0,-14.42,-14.87
30.0,S-Oil,84600.0,100.0,+0.12%,2500.0,95245.0,112583.0,81.55,279762.0,3.93,21.76
31.0,한화솔루션,48100.0,1900.0,+4.11%,5000.0,92005.0,191278.0,22.94,1529122.0,26.47,8.79
32.0,LG생활건강,581000.0,32000.0,-5.22%,5000.0,90742.0,15618.0,37.57,97042.0,17.25,16.65
